,Open,High,Low,Close,Volume
2022-02-25 00:00:00,38320.9,38605.2,38252.8,38552.2,7033850.84517477
2022-02-24 23:00:00,37865.7,38395.2,37865.6,38320.9,15471707.4947393
2022-02-24 22:00:00,38397.9,38474.9,37750,37865.7,11361212.8313898
2022-02-24 21:00:00,38413.2,38650,38168.1,38398,17688546.1569933
2022-02-24 20:00:00,37301.1,39823.3,37281.4,38408.1,76135285.8888387
2022-02-24 19:00:00,36397.2,37384.8,36234.1,37301.2,39966779.8581822
2022-02-24 18:00:00,35832.3,36812.1,35804,36397.2,31423616.8467471
2022-02-24 17:00:00,36161.1,36180.4,35726.4,35832.3,14614912.163949
2022-02-24 16:00:00,35932.8,36311.7,35860,36163.7,23448617.9753246
2022-02-24 15:00:00,35649.8,36149.4,35420,35923.1,29363578.3592375
2022-02-24 14:00:00,35473.5,35920.8,35179.2,35649.7,36605173.1210336
2022-02-24 13:00:00,35261.8,35683.5,35150,35471.7,23327848.9409369
2022-02-24 12:00:00,35435.5,35451.6,35051.9,35261.9,16847350.8194058
2022-02-24 11:00:00,35196.5,35590,34894.6,35445.6,19439731.7184519
2022-02-24 10:00:00,35340.2,35491.4,34811,35196.6,25337239.9298721
2022-02-24 09:00:00,35512.1,35787.6,35265.8,35343.7,18773187.1633361
2022-02-24 08:00:00,35309.7,35880,35172.7,35516.7,28955424.1734218
2022-02-24 07:00:00,34900.9,35533.9,34391.7,35314.4,31799575.6975053
2022-02-24 06:00:00,34664.5,35124.5,34598.8,34902.5,24232407.1509275
2022-02-24 05:00:00,35078.6,35112.6,34325,34664.6,38276695.2377716
2022-02-24 04:00:00,34930.9,35209,34536,35078.6,38186850.5438277
2022-02-24 03:00:00,35928.3,35954.6,34712,34933.9,56175400.0413773
2022-02-24 02:00:00,36954.8,37013.1,35821,35928.3,22403129.3424961
2022-02-24 01:00:00,36747.6,37080.8,36629.9,36957.4,14602491.6988918
2022-02-24 00:00:00,37248.2,37419.4,36697.5,36747.5,26548260.4596491
2022-02-23 23:00:00,37649.2,37710.4,37046.8,37248.1,15598263.2180199
2022-02-23 22:00:00,37520.5,37665.9,37126.9,37649.2,10947762.1569882
2022-02-23 21:00:00,37679.6,37792.6,37415.4,37520.5,8070796.46199586
2022-02-23 20:00:00,37617.2,37737.2,37393.9,37679.5,21219956.8893562
2022-02-23 19:00:00,37784.5,37885,37530.8,37617.2,20344918.5958081
2022-02-23 18:00:00,38079.6,38099.3,37703.3,37784.6,23446148.0959345
2022-02-23 17:00:00,38638.2,38777.4,38026.5,38079.6,21306018.5535383
2022-02-23 16:00:00,38518.7,38712.4,38359.1,38638.2,15149694.1731528
2022-02-23 15:00:00,38652.5,38671.6,38429.4,38518.6,14718118.1704099
2022-02-23 14:00:00,38968.3,38999.4,38620.6,38648.4,22179419.8594086
2022-02-23 13:00:00,39011.5,39285.2,38903.5,38968.2,22691422.0683683
2022-02-23 12:00:00,38784.5,39090.9,38748.1,39011.1,11838685.6169947
2022-02-23 11:00:00,38866.3,39156,38744.5,38784.4,17923982.374315
2022-02-23 10:00:00,38874.3,38957.6,38761.9,38864.5,10450498.9050143
2022-02-23 09:00:00,38663.9,38993.5,38599.6,38873.5,14429557.8589374
2022-02-23 08:00:00,38151,38775.8,38084.9,38663.9,18910075.0698793
2022-02-23 07:00:00,37980.6,38206,37956.7,38151,4901598.31663225
2022-02-23 06:00:00,37979.6,38146.7,37914.2,37980.6,5762882.67381923
2022-02-23 05:00:00,38010.9,38124.5,37822.7,37977.7,5919774.18455334
2022-02-23 04:00:00,37748.4,38084.9,37711.5,38010.9,10522616.306436
2022-02-23 03:00:00,37698.9,37790.1,37604.7,37748.4,5712506.18387345
2022-02-23 02:00:00,38064.1,38204.5,37527,37698.9,12825601.757386
2022-02-23 01:00:00,38145.5,38163.2,37927.5,38064.1,6890241.18837987
2022-02-23 00:00:00,38229.6,38352,38040.4,38145.4,9337990.73093775
2022-02-22 23:00:00,37914.5,38448.4,37877.3,38229.6,13010524.149027
2022-02-22 22:00:00,37869.1,37974,37746.7,37914.4,3421486.95238701
2022-02-22 21:00:00,37910,38051.6,37822.9,37869.1,11094927.2778556
2022-02-22 20:00:00,38078.8,38298.4,37784.1,37906.1,18825331.0820682
2022-02-22 19:00:00,37711.5,38167.4,37301.4,38071.4,31812497.619937
2022-02-22 18:00:00,37635.2,37996,37553.1,37714,10406143.2453616
2022-02-22 17:00:00,37703.2,37840.8,37376.8,37635.1,10480079.9791746
2022-02-22 16:00:00,37756.7,37871.6,37471.1,37712,15669573.9935282
2022-02-22 15:00:00,38143.5,38237.4,37682,37758.2,16738137.0276958
2022-02-22 14:00:00,37823,38325.9,37411.5,38143.4,27322617.6656541
2022-02-22 13:00:00,37629.5,37949.9,37322,37823.1,18939636.1905804
2022-02-22 12:00:00,37527.2,37776,37279.1,37629.4,9779955.05486024
2022-02-22 11:00:00,37709.3,37773,37439,37527.2,9475014.82125098
2022-02-22 10:00:00,37141,37864.2,37081.5,37709.2,19289504.1550056
2022-02-22 09:00:00,37117.3,37316.1,37017.2,37139.6,8547727.9143307
2022-02-22 08:00:00,36767.4,37179.2,36757.6,37118.5,8177982.02147906
2022-02-22 07:00:00,36866.2,36996,36527,36773.5,9244534.10085244
2022-02-22 06:00:00,36738.4,37004,36601.3,36866.2,10273550.1446057
2022-02-22 05:00:00,36714.4,37237.6,36554,36738.3,10078536.5647037
2022-02-22 04:00:00,36588.9,36754,36552,36700.1,6428533.16999461
2022-02-22 03:00:00,37007.9,37017.6,36333.1,36588.8,22236123.3995216
2022-02-22 02:00:00,37243.7,37243.7,36900,37011,8136631.51782572
2022-02-22 01:00:00,37237.8,37460,36861,37243.7,10906373.0493335
2022-02-22 00:00:00,37020.5,37340,36845.1,37237.8,14024419.431515
2022-02-21 23:00:00,37541.9,37679.9,36856.9,37025.7,27880967.6822262
2022-02-21 22:00:00,37071.6,37778.7,36800,37542,21333573.5162502
