unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1615852800000,2021-03-16 00:00:00,EOS/BTC,6.86E-05,6.9E-05,6.85E-05,6.87E-05,21863.05,1.50162399,317
1615766400000,2021-03-15 00:00:00,EOS/BTC,6.66E-05,6.9E-05,6.54E-05,6.85E-05,4971908.73,334.7204517,27538
1615680000000,2021-03-14 00:00:00,EOS/BTC,7E-05,7.16E-05,6.66E-05,6.66E-05,3455669.25,236.82533503,22549
1615593600000,2021-03-13 00:00:00,EOS/BTC,6.6E-05,7.17E-05,6.51E-05,7E-05,4475482.78,304.38304278,27466
1615507200000,2021-03-12 00:00:00,EOS/BTC,6.85E-05,6.98E-05,6.56E-05,6.6E-05,4433265.61,300.10902844,23628
1615420800000,2021-03-11 00:00:00,EOS/BTC,7.15E-05,7.28E-05,6.82E-05,6.84E-05,6443497.79,452.27519627,28795
1615334400000,2021-03-10 00:00:00,EOS/BTC,7.6E-05,7.62E-05,7.07E-05,7.14E-05,3932182.27,286.80005283,23900
1615248000000,2021-03-09 00:00:00,EOS/BTC,7.44E-05,7.65E-05,7.22E-05,7.59E-05,5121132.62,380.29551875,32596
1615161600000,2021-03-08 00:00:00,EOS/BTC,7.51E-05,7.74E-05,7.42E-05,7.45E-05,5010847.89,379.32411878,28312
1615075200000,2021-03-07 00:00:00,EOS/BTC,7.61E-05,7.65E-05,7.4E-05,7.52E-05,2710775.06,203.17376477,18515
1614988800000,2021-03-06 00:00:00,EOS/BTC,7.57E-05,7.76E-05,7.55E-05,7.62E-05,2570744.57,196.97024675,18288
1614902400000,2021-03-05 00:00:00,EOS/BTC,7.75E-05,7.81E-05,7.52E-05,7.57E-05,3193545.65,245.13164867,23539
1614816000000,2021-03-04 00:00:00,EOS/BTC,7.59E-05,7.82E-05,7.52E-05,7.75E-05,4487695.9,345.3094509,28948
1614729600000,2021-03-03 00:00:00,EOS/BTC,7.57E-05,8.12E-05,7.44E-05,7.6E-05,6109999.96,471.81336671,38765
1614643200000,2021-03-02 00:00:00,EOS/BTC,7.48E-05,7.84E-05,7.4E-05,7.57E-05,5250100.46,397.78267072,28585
1614556800000,2021-03-01 00:00:00,EOS/BTC,7.7E-05,7.71E-05,7.39E-05,7.48E-05,3619608.75,272.20704398,23523
1614470400000,2021-02-28 00:00:00,EOS/BTC,7.97E-05,7.98E-05,7.51E-05,7.7E-05,3647232.02,282.00401576,25731
1614384000000,2021-02-27 00:00:00,EOS/BTC,7.66E-05,8.13E-05,7.65E-05,7.96E-05,3736213.89,295.69721686,30552
1614297600000,2021-02-26 00:00:00,EOS/BTC,7.79E-05,7.86E-05,7.46E-05,7.67E-05,4758494.29,367.64070952,31594
1614211200000,2021-02-25 00:00:00,EOS/BTC,7.84E-05,8.02E-05,7.61E-05,7.79E-05,4787755.09,374.62968306,36614
1614124800000,2021-02-24 00:00:00,EOS/BTC,7.88E-05,8.09E-05,7.73E-05,7.84E-05,5887339.56,465.7169136,38867
1614038400000,2021-02-23 00:00:00,EOS/BTC,8.67E-05,8.74E-05,7.02E-05,7.87E-05,15017036.48,1184.8883023,88511
1613952000000,2021-02-22 00:00:00,EOS/BTC,8.88E-05,9.52E-05,8.37E-05,8.67E-05,12148309.21,1074.75019879,81702
1613865600000,2021-02-21 00:00:00,EOS/BTC,8.67E-05,9.6E-05,8.52E-05,8.89E-05,6491803.94,576.82148911,50885
1613779200000,2021-02-20 00:00:00,EOS/BTC,9.35E-05,9.89E-05,8.25E-05,8.67E-05,11548453.73,1059.63314703,71346
1613692800000,2021-02-19 00:00:00,EOS/BTC,9.34E-05,0.000102,9.09E-05,9.36E-05,12937118.33,1247.6303024,75271
1613606400000,2021-02-18 00:00:00,EOS/BTC,9.3E-05,9.55E-05,9.14E-05,9.34E-05,9242288.28,867.33775956,48013
1613520000000,2021-02-17 00:00:00,EOS/BTC,9.45E-05,9.51E-05,8.96E-05,9.29E-05,9770687.09,906.18062826,50639
1613433600000,2021-02-16 00:00:00,EOS/BTC,9.83E-05,0.0001002,9.14E-05,9.46E-05,15523934.45,1501.30239414,71861
1613347200000,2021-02-15 00:00:00,EOS/BTC,0.0001043,0.0001075,9E-05,9.83E-05,13247172.86,1312.84212617,88852
1613260800000,2021-02-14 00:00:00,EOS/BTC,0.0001178,0.0001187,0.0001007,0.0001043,15433409.33,1672.97413905,93328
1613174400000,2021-02-13 00:00:00,EOS/BTC,0.0001005,0.0001178,9.7E-05,0.0001177,19265710.97,2063.41455062,109771
1613088000000,2021-02-12 00:00:00,EOS/BTC,9.55E-05,0.0001023,8.99E-05,0.0001003,12070189.03,1163.38684883,72741
1613001600000,2021-02-11 00:00:00,EOS/BTC,9.2E-05,9.75E-05,8.96E-05,9.55E-05,10841596.64,1008.50298034,68101
1612915200000,2021-02-10 00:00:00,EOS/BTC,8.97E-05,9.77E-05,8.18E-05,9.21E-05,18868704.04,1707.38905183,109588
1612828800000,2021-02-09 00:00:00,EOS/BTC,7.75E-05,9.17E-05,7.58E-05,8.98E-05,20677597.46,1695.10361067,98137
1612742400000,2021-02-08 00:00:00,EOS/BTC,8.86E-05,8.92E-05,7.62E-05,7.75E-05,13025543,1085.11074305,69640
1612656000000,2021-02-07 00:00:00,EOS/BTC,8.19E-05,9.31E-05,7.89E-05,8.86E-05,14386052.91,1243.50805371,70193
1612569600000,2021-02-06 00:00:00,EOS/BTC,8.65E-05,8.67E-05,7.76E-05,8.19E-05,6417309.36,520.16244473,37120
1612483200000,2021-02-05 00:00:00,EOS/BTC,8.18E-05,8.92E-05,8.16E-05,8.65E-05,8207988.42,695.38345787,39980
1612396800000,2021-02-04 00:00:00,EOS/BTC,8.15E-05,8.36E-05,7.92E-05,8.18E-05,5617119.55,456.31295242,35270
1612310400000,2021-02-03 00:00:00,EOS/BTC,8.46E-05,8.52E-05,8.14E-05,8.15E-05,6432851.04,536.46646292,31542
1612224000000,2021-02-02 00:00:00,EOS/BTC,9.11E-05,9.14E-05,8.29E-05,8.45E-05,6498314.18,561.82391474,35062
1612137600000,2021-02-01 00:00:00,EOS/BTC,8.85E-05,9.65E-05,8.62E-05,9.12E-05,16658187,1532.92500368,73826
1612051200000,2021-01-31 00:00:00,EOS/BTC,8.55E-05,9.13E-05,8.36E-05,8.85E-05,8352896.24,731.54940653,43177
1611964800000,2021-01-30 00:00:00,EOS/BTC,7.96E-05,9.17E-05,7.85E-05,8.55E-05,10973323.69,927.65681452,51965
1611878400000,2021-01-29 00:00:00,EOS/BTC,8.12E-05,9.1E-05,7.27E-05,7.95E-05,12791200.43,992.60191367,57432
1611792000000,2021-01-28 00:00:00,EOS/BTC,8.24E-05,8.84E-05,8.09E-05,8.12E-05,6325809.03,528.81333254,29397
1611705600000,2021-01-27 00:00:00,EOS/BTC,8.1E-05,8.43E-05,8.03E-05,8.25E-05,4257713.51,350.16461933,22003
1611619200000,2021-01-26 00:00:00,EOS/BTC,8.21E-05,8.33E-05,8E-05,8.1E-05,2834607.51,231.98735041,16850
1611532800000,2021-01-25 00:00:00,EOS/BTC,8.42E-05,8.46E-05,7.83E-05,8.21E-05,4860540,397.32020959,22105
1611446400000,2021-01-24 00:00:00,EOS/BTC,8.43E-05,8.62E-05,8.31E-05,8.41E-05,2686273.33,227.06772797,19091
1611360000000,2021-01-23 00:00:00,EOS/BTC,7.95E-05,8.74E-05,7.93E-05,8.43E-05,5886470.73,488.74505938,30161
1611273600000,2021-01-22 00:00:00,EOS/BTC,8.24E-05,8.45E-05,7.85E-05,7.96E-05,5136443.11,419.27549501,29033
1611187200000,2021-01-21 00:00:00,EOS/BTC,7.82E-05,8.37E-05,7.8E-05,8.25E-05,5610496.18,454.18480801,30946
1611100800000,2021-01-20 00:00:00,EOS/BTC,7.77E-05,7.99E-05,7.72E-05,7.84E-05,3333260.1,261.48350772,20247
1611014400000,2021-01-19 00:00:00,EOS/BTC,7.69E-05,7.98E-05,7.19E-05,7.77E-05,6331499.59,490.86135258,27203
1610928000000,2021-01-18 00:00:00,EOS/BTC,7.71E-05,7.79E-05,7.53E-05,7.68E-05,3894988.25,299.22429774,20693
1610841600000,2021-01-17 00:00:00,EOS/BTC,7.72E-05,8.1E-05,7.57E-05,7.72E-05,4436707.34,343.47825884,22418
1610755200000,2021-01-16 00:00:00,EOS/BTC,7.49E-05,7.78E-05,7.35E-05,7.71E-05,4800999.08,363.8851916,26724
1610668800000,2021-01-15 00:00:00,EOS/BTC,7.16E-05,7.84E-05,7.08E-05,7.5E-05,7065483,525.17006916,31429
1610582400000,2021-01-14 00:00:00,EOS/BTC,7.4E-05,7.41E-05,6.94E-05,7.16E-05,5612069.07,401.9265564,25225
1610496000000,2021-01-13 00:00:00,EOS/BTC,7.63E-05,8.06E-05,7.33E-05,7.41E-05,6931923.25,538.86984863,31184
1610409600000,2021-01-12 00:00:00,EOS/BTC,7.53E-05,7.84E-05,7.44E-05,7.62E-05,8118677.71,618.59694193,34635
1610323200000,2021-01-11 00:00:00,EOS/BTC,8.02E-05,8.27E-05,7.48E-05,7.54E-05,16992001.3,1329.78159182,88171
1610236800000,2021-01-10 00:00:00,EOS/BTC,9.02E-05,9.62E-05,7.64E-05,8.02E-05,27932151.98,2368.06066869,114876
1610150400000,2021-01-09 00:00:00,EOS/BTC,7.66E-05,9.27E-05,7.57E-05,9E-05,13650940.17,1169.3762735,55918
1610064000000,2021-01-08 00:00:00,EOS/BTC,8.11E-05,8.19E-05,7.47E-05,7.66E-05,6767168.25,528.32240323,31917
1609977600000,2021-01-07 00:00:00,EOS/BTC,9.17E-05,9.33E-05,8.08E-05,8.11E-05,13169111.38,1146.3552687,57080
1609891200000,2021-01-06 00:00:00,EOS/BTC,8.51E-05,9.91E-05,8.17E-05,9.17E-05,15294481.89,1399.89270692,67388
1609804800000,2021-01-05 00:00:00,EOS/BTC,8.81E-05,9.21E-05,8.39E-05,8.51E-05,5374999.72,472.09093339,32473
1609718400000,2021-01-04 00:00:00,EOS/BTC,8.47E-05,9.49E-05,8.47E-05,8.8E-05,9362339.58,840.85003947,49003
1609632000000,2021-01-03 00:00:00,EOS/BTC,8.19E-05,8.54E-05,7.47E-05,8.48E-05,8505155.44,679.73723298,39867
1609545600000,2021-01-02 00:00:00,EOS/BTC,9E-05,9.03E-05,7.92E-05,8.18E-05,4239882.75,356.28929386,24770
1609459200000,2021-01-01 00:00:00,EOS/BTC,8.96E-05,9.28E-05,8.87E-05,8.99E-05,2429672.32,219.10626413,14747
1609372800000,2020-12-31 00:00:00,EOS/BTC,9.04E-05,9.18E-05,8.86E-05,8.95E-05,2884836.39,259.39089766,17071
1609286400000,2020-12-30 00:00:00,EOS/BTC,9.64E-05,9.67E-05,8.97E-05,9.04E-05,3154315.31,291.58448286,20699
1609200000000,2020-12-29 00:00:00,EOS/BTC,0.0001021,0.0001036,9.43E-05,9.64E-05,4179512.58,412.34912244,25426
1609113600000,2020-12-28 00:00:00,EOS/BTC,0.0001034,0.0001069,9.89E-05,0.0001021,3828231.14,395.166454,23978
1609027200000,2020-12-27 00:00:00,EOS/BTC,9.86E-05,0.0001053,9.11E-05,0.0001034,6936126.05,685.45424476,36734
1608940800000,2020-12-26 00:00:00,EOS/BTC,0.0001078,0.0001091,9.65E-05,9.86E-05,4107391.97,424.84584648,22530
1608854400000,2020-12-25 00:00:00,EOS/BTC,0.0001125,0.0001133,0.000106,0.0001079,5584528.48,611.27054927,28164
1608768000000,2020-12-24 00:00:00,EOS/BTC,9.97E-05,0.0001143,9.76E-05,0.0001124,8053213.12,856.82681431,37961
1608681600000,2020-12-23 00:00:00,EOS/BTC,0.0001217,0.000122,8.56E-05,9.97E-05,10885820.56,1165.66204683,54829
